"ID","Cluster","Silo","D0","D3","D5","D7","D9","D11","D13","Gene.names"
"CHOYP_ABCA1.3.3.m.56453",1,"3",0.1,0.1,0.26815,0.1,0.1,0.1,0.1,"Abca1 Abc1"
"CHOYP_ABCA3.2.6.m.4295",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"ABCA3 ABC3"
"CHOYP_ABCA3.2.6.m.4295",1,"3",0.1,0.36335,0.1,0.1,0.1,0.1,0.1,"ABCA3 ABC3"
"CHOYP_ABCA3.5.6.m.54787",1,"9",0.1,0.1,0.1,0.44115,0.1,0.1,0.1,"Abca17"
"CHOYP_ABCA3.5.6.m.54787",1,"3",0.1,0.3615,0.1,0.1,0.1,0.1,0.1,"Abca17"
"CHOYP_ABCA4.1.1.m.31461",1,"3",0.1,0.1,0.1,0.15925,0.1,0.1,0.1,"Abca1 Abc1"
"CHOYP_ABCA4.1.1.m.31461",1,"9",0.1,0.1,0.1,0.1,0.1657,0.1,0.1,"Abca1 Abc1"
"CHOYP_ABCB6.2.3.m.11344",1,"3",25.7729,17.7223,17.8127,16.8643,18.91755,26.0623,19.55215,"DDAH1 DDAH"
"CHOYP_ABCB6.2.3.m.11344",1,"9",25.7729,18.72235,24.2089,20.0964,21.38955,24.3008,18.3549,"DDAH1 DDAH"
"CHOYP_ABCB6.3.3.m.53101",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"abcb6"
"CHOYP_ABCB6.3.3.m.53101",1,"9",0.1,0.1,0.1,0.1,0.73835,0.1,0.1,"abcb6"
"CHOYP_ABCE1.1.2.m.7437",1,"9",29.87955,40.51095,29.8349,43.91575,40.21355,43.8737,21.84545,"ABCE2 RLI2 At4g19210 T18B16.180"
"CHOYP_ABCE1.1.2.m.7437",1,"3",29.87955,27.03665,7.00405,37.98815,8.35815,51.19255,39.65505,"ABCE2 RLI2 At4g19210 T18B16.180"
"CHOYP_ABCE1.2.2.m.42246",1,"3",17.28995,27.03665,44.76315,12.09375,38.22555,6.0527,39.65505,"Abce1 Rli"
"CHOYP_ABCE1.2.2.m.42246",1,"9",17.28995,40.51095,29.8349,4.3905,21.0257,25.099,32.5588,"Abce1 Rli"
"CHOYP_ABCF2.1.2.m.28360",1,"3",7.19375,13.867,26.1576,25.62165,25.03595,13.75555,16.7147,"Abcf2"
"CHOYP_ABCF2.1.2.m.28360",1,"9",7.19375,20.1213,21.764,16.34135,9.50795,4.96475,7.1355,"Abcf2"
"CHOYP_ABCF2.1.2.m.28362",3,"3",381.0581,288.97795,407.59395,396.1436,435.95605,311.6036,459.05795,"RPS27A UBA80"
"CHOYP_ABCF2.1.2.m.28362",3,"9",381.0581,394.90065,427.17515,461.9663,335.74685,268.42145,467.2112,"RPS27A UBA80"
"CHOYP_ABCG8.1.1.m.3707",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"ABCG5"
"CHOYP_ABCG8.1.1.m.3707",1,"9",0.1,0.1,0.1,0.1,0.1,0.1,0.8919,"ABCG5"
"CHOYP_ABHD2.2.2.m.32276",1,"3",0.91605,1.71885,0.90365,1.77185,0.9575,1.0097,1.20145,"Abhd2 Labh-2 Labh2"
"CHOYP_ABHD2.2.2.m.32276",1,"9",0.91605,0.93075,1.01705,1.0977,0.9703,1.01595,0.9064,"Abhd2 Labh-2 Labh2"
"CHOYP_ABI2.2.2.m.65629",1,"9",12.88835,10.477,4.2657,3.15905,5.4483,4.27275,11.5778,"Abi1"
"CHOYP_ABI2.2.2.m.65629",1,"3",12.88835,6.2028,8.7348,7.88665,4.0895,11.23855,3.4207,"Abi1"
"CHOYP_ABL1.1.1.m.55647",1,"3",0.4883,1.68495,1.2673,0.8922,0.96395,0.9906,1.78945,"Abl ABL-1 Dash CG4032"
"CHOYP_ABL1.1.1.m.55647",1,"9",0.4883,0.88955,0.1,0.1,0.9245,1.4501,0.8721,"Abl ABL-1 Dash CG4032"
"CHOYP_ACA1_060860.1.1.m.52568",1,"9",0.1,0.1,0.1,0.1,0.63955,0.1,0.1,"None"
"CHOYP_ACA1_060860.1.1.m.52568",1,"3",0.1,0.1,0.1,0.63115,0.1,0.1,0.1,"None"
"CHOYP_ACA1_091870.1.1.m.43726",1,"3",18.4574,12.70095,12.8329,10.8681,8.3213,0.1,10.5025,"calm"
"CHOYP_ACA1_091870.1.1.m.43726",1,"9",18.4574,16.0859,14.531,12.7637,0.1,0.1,5.26175,"calm"
"CHOYP_ACA1_394750.1.2.m.54181",1,"9",0.1,0.1,0.1,0.1,2.8501,7.4411,1.3794,"None"
"CHOYP_ACA1_394750.1.2.m.54181",1,"3",0.1,0.1,0.1,0.1,1.45875,0.1,0.1,"None"
"CHOYP_ACAA2.1.1.m.30666",1,"9",73.22175,92.76075,110.65265,85.42575,94.96295,77.63095,93.74885,"ACAA2"
"CHOYP_ACAA2.1.1.m.30666",1,"3",73.22175,83.8466,88.3377,95.5248,81.0114,106.97615,86.20145,"ACAA2"
"CHOYP_ACAC.1.2.m.16888",1,"9",2.8431,3.8596,4.93035,4.60185,4.26235,3.6474,2.3693,"ACAC"
"CHOYP_ACAC.1.2.m.16888",1,"3",2.8431,5.25085,5.29365,4.5814,6.54995,4.90765,3.462,"ACAC"
"CHOYP_ACAC.2.2.m.58115",1,"9",0.1,3.54025,0.1,0.1,0.1,0.1,0.1,"None"
"CHOYP_ACAC.2.2.m.58115",1,"3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,"None"
"CHOYP_ACAD8.1.1.m.9135",1,"9",22.1015,6.6106,8.5331,12.646,6.87775,7.17905,6.4416,"Acad8"
"CHOYP_ACAD8.1.1.m.9135",1,"3",22.1015,10.01645,6.293,6.6087,9.33415,12.7044,5.17725,"Acad8"
"CHOYP_ACADL.1.1.m.5508",1,"9",34.1747,40.96595,41.5402,39.9278,38.70855,40.31635,37.76495,"Acadl"
"CHOYP_ACADL.1.1.m.5508",1,"3",34.1747,38.80295,43.79545,43.5498,38.9021,38.6404,45.3615,"Acadl"
"CHOYP_ACBD5.1.2.m.16744",1,"3",0.1,0.1,0.9647,0.1,0.1,0.1,0.1,"acbd5a acbd5 zgc:112043"
"CHOYP_ACBD5.1.2.m.16744",1,"9",0.1,0.1,1.11375,2.35495,0.1,0.1,0.1,"acbd5a acbd5 zgc:112043"
"CHOYP_ACBP.1.4.m.15501",1,"3",78.4311,89.72715,61.90695,105.51395,80.45615,85.5325,123.63745,"DBI"
"CHOYP_ACBP.1.4.m.15501",1,"9",78.4311,89.7395,108.0182,89.199,72.5378,86.44325,73.2845,"DBI"
