"","Silo3","Silo9"
"208","CHOYP_G6PD.2.2.m.46923.137","CHOYP_G6PD.2.2.m.46923.2.23"
"209","CHOYP_G6PD.2.2.m.46923.138","CHOYP_G6PD.2.2.m.46923.3.135"
"210","CHOYP_G6PD.2.2.m.46923.139","CHOYP_G6PD.2.2.m.46923.3.136"
"211","CHOYP_FYN.1.1.m.44312.27","CHOYP_G6PD.2.2.m.46923.3.137"
"212","CHOYP_G6PD.2.2.m.46923.140","CHOYP_G6PD.2.2.m.46923.3.138"
"213","CHOYP_G6PD.2.2.m.46923.141","CHOYP_G6PD.2.2.m.46923.3.139"
"214","CHOYP_FYN.1.1.m.44312.28","CHOYP_FYN.1.1.m.44312.13"
"215","CHOYP_G6PD.2.2.m.46923.142","CHOYP_G6PD.2.2.m.46923.3.140"
"216","CHOYP_G6PD.2.2.m.46923.143","CHOYP_G6PD.2.2.m.46923.3.141"
"217","CHOYP_G6PD.2.2.m.46923.144","CHOYP_G6PD.2.2.m.46923.3.142"
"218","CHOYP_FYN.1.1.m.44312.29","CHOYP_G6PD.2.2.m.46923.3.143"
"219","CHOYP_FYN.1.1.m.44312.30","CHOYP_G6PD.2.2.m.46923.3.144"
"220","CHOYP_G6PD.2.2.m.46923.145","CHOYP_G6PD.2.2.m.46923.3.145"
"221","CHOYP_G6PD.2.2.m.46923.146","CHOYP_G6PD.2.2.m.46923.3.146"
"222","CHOYP_FYN.1.1.m.44312.31","CHOYP_G6PD.2.2.m.46923.3.147"
"223","CHOYP_FUT8.1.1.m.9231.17","CHOYP_FYN.1.1.m.44312.14"
"224","CHOYP_G6PD.2.2.m.46923.147","CHOYP_G6PD.2.2.m.46923.3.148"
"225","CHOYP_G6PD.2.2.m.46923.148","CHOYP_G6PD.2.2.m.46923.13"
"226","CHOYP_G6PD.2.2.m.46923.149","CHOYP_G6PD.2.2.m.46923.1.10"
"227","CHOYP_1433G.2.2.m.63450.12","CHOYP_G6PD.2.2.m.46923.3.149"
"228","CHOYP_G6PD.2.2.m.46923.150","CHOYP_G6PD.2.2.m.46923.3.150"
"229","CHOYP_1433G.2.2.m.63450.13","CHOYP_G6PD.2.2.m.46923.3.151"
"230","CHOYP_G6PD.2.2.m.46923.151","CHOYP_G6PD.2.2.m.46923.14"
"231","CHOYP_AADAT.1.1.m.12672.3","CHOYP_G6PD.2.2.m.46923.3.152"
"232","CHOYP_G6PD.2.2.m.46923.152","CHOYP_G6PD.2.2.m.46923.15"
"233","CHOYP_G6PD.2.2.m.46923.153","CHOYP_G6PD.2.2.m.46923.3.153"
"234","CHOYP_G6PD.2.2.m.46923.154","CHOYP_G6PD.2.2.m.46923.3.154"
"235","CHOYP_G6PD.2.2.m.46923.155","CHOYP_G6PD.2.2.m.46923.3.155"
"236","CHOYP_G6PD.2.2.m.46923.156","CHOYP_G6PD.2.2.m.46923.2.24"
"237","CHOYP_G6PD.2.2.m.46923.157","CHOYP_G6PD.2.2.m.46923.3.156"
"238","CHOYP_FUT8.1.1.m.9231.18","CHOYP_G6PD.2.2.m.46923.3.157"
"239","CHOYP_ALF.3.3.m.66837.11","CHOYP_G6PD.2.2.m.46923.3.158"
"240","CHOYP_FYN.1.1.m.44312.32","CHOYP_ALF.3.3.m.66837.16"
"241","CHOYP_FUT8.1.1.m.9231.19","CHOYP_FYN.1.1.m.44312.15"
"242","CHOYP_G6PD.2.2.m.46923.158","CHOYP_G6PD.2.2.m.46923.16"
"243","CHOYP_AADAT.1.1.m.12672.4","CHOYP_G6PD.2.2.m.46923.3.159"
"244","CHOYP_FYN.1.1.m.44312.33","CHOYP_ALF.3.3.m.66837.17"
"245","CHOYP_G6PD.2.2.m.46923.159","CHOYP_G6PD.2.2.m.46923.3.160"
"246","CHOYP_FYN.1.1.m.44312.34","CHOYP_G6PD.2.2.m.46923.3.161"
"247","CHOYP_G6PD.2.2.m.46923.160","CHOYP_FYN.1.1.m.44312.16"
"248","CHOYP_ALF.3.3.m.66837.12","CHOYP_G6PD.2.2.m.46923.3.162"
"249","CHOYP_FUT8.1.1.m.9231.20","CHOYP_G6PD.2.2.m.46923.17"
"250","CHOYP_G6PD.2.2.m.46923.161","CHOYP_G6PD.2.2.m.46923.3.163"
"251","CHOYP_ALF.3.3.m.66837.13","CHOYP_G6PD.2.2.m.46923.3.164"
"252","CHOYP_G6PD.2.2.m.46923.162","CHOYP_G6PD.2.2.m.46923.18"
"253","CHOYP_FYN.1.1.m.44312.35","CHOYP_G6PD.2.2.m.46923.3.165"
"254","CHOYP_G6PD.2.2.m.46923.163","CHOYP_G6PD.2.2.m.46923.3.166"
"255","CHOYP_G6PD.2.2.m.46923.164","CHOYP_G6PD.2.2.m.46923.3.167"
"256","CHOYP_G6PD.2.2.m.46923.165","CHOYP_G6PD.2.2.m.46923.3.168"
"257","CHOYP_G6PD.2.2.m.46923.166","CHOYP_G6PD.2.2.m.46923.3.169"
"258","CHOYP_G6PD.2.2.m.46923.167","CHOYP_G6PD.2.2.m.46923.3.170"
"259","CHOYP_AADAT.1.1.m.12672.5","CHOYP_G6PD.2.2.m.46923.3.171"
"260","CHOYP_G6PD.2.2.m.46923.168","CHOYP_G6PD.2.2.m.46923.1.11"
"261","CHOYP_G6PD.2.2.m.46923.169","CHOYP_G6PD.2.2.m.46923.3.172"
"262","CHOYP_1433G.2.2.m.63450.14","CHOYP_G6PD.2.2.m.46923.3.173"
"263","CHOYP_G6PD.2.2.m.46923.170","CHOYP_G6PD.2.2.m.46923.1.12"
"264","CHOYP_G6PD.2.2.m.46923.171","CHOYP_G6PD.2.2.m.46923.3.174"
"265","CHOYP_G6PD.2.2.m.46923.172","CHOYP_G6PD.2.2.m.46923.3.175"
"266","CHOYP_FYN.1.1.m.44312.36","CHOYP_G6PD.2.2.m.46923.3.176"
"267","CHOYP_G6PD.2.2.m.46923.173","CHOYP_ALF.3.3.m.66837.18"
"268","CHOYP_FUT8.1.1.m.9231.21","CHOYP_G6PD.2.2.m.46923.3.177"
"269","CHOYP_AADAT.1.1.m.12672.6","CHOYP_FYN.1.1.m.44312.17"
"270","CHOYP_ALF.3.3.m.66837.14","CHOYP_ALF.3.3.m.66837.19"
"271","CHOYP_ALF.3.3.m.66837.15","CHOYP_G6PD.2.2.m.46923.19"
"272","CHOYP_G6PD.2.2.m.46923.174","CHOYP_G6PD.2.2.m.46923.1.13"
"273","CHOYP_ALF.3.3.m.66837.16","CHOYP_G6PD.2.2.m.46923.3.178"
"274","CHOYP_ALF.3.3.m.66837.17","CHOYP_ALF.3.3.m.66837.20"
"275","CHOYP_G6PD.2.2.m.46923.175","CHOYP_ALF.3.3.m.66837.21"
