"","ID","Cluster","D3","D5","D7","D9","D11","D13"
"214","3_CHOYP_ALG1.1.1.m.40067",4,0.1,0.1,1.25275,0.1,0.1,0.1
"215","3_CHOYP_ALKB8.1.2.m.27789",4,0.1,0.1,0.84665,0.1,0.1,0.1
"216","3_CHOYP_ALPHATUB84D.1.1.m.16562",1,0.1,31.2574,25.41815,0.1,0.1,0.1
"217","3_CHOYP_ALS2.1.3.m.33568",4,0.1,0.1,0.1,0.3938,0.40385,0.48625
"218","3_CHOYP_ALS2.2.3.m.37861",3,4.64095,0.1,2.46075,2.4841,5.2528,6.3952
"219","3_CHOYP_AMACR.1.1.m.21950",3,4.20995,2.8293,4.49045,2.9969,4.74745,1.98755
"220","3_CHOYP_AMDHD2.2.2.m.52160",3,1.80615,3.6384,3.86175,3.8539,1.086,3.73185
"221","3_CHOYP_AMO.1.5.m.28337",4,0.1,0.1,0.1,0.1,0.1,0.1
"222","3_CHOYP_AMO.5.5.m.66428",4,0.1,0.1,0.1,0.1,0.1,0.1
"223","3_CHOYP_AMPD2.1.2.m.1295",3,2.64535,5.3357,4.9221,3.568,0.7893,3.64985
"224","3_CHOYP_AMPL.1.1.m.27061",1,9.9946,8.0271,9.5059,7.44635,3.409,9.63915
"225","3_CHOYP_AMRP.1.1.m.36070",3,1.5404,2.99485,3.1488,1.60945,0.1,2.09635
"226","3_CHOYP_AMY.2.3.m.15473",3,0.1,2.00205,2.1143,2.0566,0.1,2.68895
"227","3_CHOYP_AMY.3.3.m.64271",1,5.0759,15.28985,15.0028,11.9262,14.9452,15.3816
"228","3_CHOYP_AN13B.1.1.m.15287",3,0.9314,3.56005,0.968,2.8124,1.0637,1.2663
"229","3_CHOYP_ANGP4.3.7.m.24608",3,0.1,0.1,1.0806,1.1262,1.18805,1.4155
"230","3_CHOYP_ANGP4.4.7.m.33574",2,0.1,0.1,0.1,2.77765,0.1,5.3833
"231","3_CHOYP_ANK.2.3.m.19487",7,1.9267,11.83485,0.1,0.1,0.1,2.05405
"232","3_CHOYP_ANK3.3.9.m.6798",1,16.7513,25.9919,27.9405,31.0964,31.4332,14.88085
"233","3_CHOYP_ANK3.7.9.m.43272",5,0.7483,0.7608,0.1,5.75935,1.0005,0.1
"234","3_CHOYP_ANKK1.1.1.m.56194",3,0.1,0.9906,4.93655,1.05,5.2024,2.5404
"235","3_CHOYP_ANKMY2.1.1.m.18238",1,5.9998,7.21645,2.54025,5.11835,9.5207,8.2616
"236","3_CHOYP_ANKRD27.1.1.m.12550",4,0.1,0.1,0.54505,0.1,0.1,0.1
"237","3_CHOYP_ANKRD5.1.2.m.11711",4,4.78185,1.37665,0.75995,0.1,0.83395,0.1
"238","3_CHOYP_ANKY2.2.2.m.44213",3,4.41085,4.44275,4.67115,4.83505,4.99235,0.1
"239","3_CHOYP_ANLN.1.1.m.6530",4,0.1,0.1,0.1,0.4751,0.1,0.1
"240","3_CHOYP_ANM12.1.1.m.53881",3,0.1,2.02325,4.0957,2.0784,0.1,0.1
"241","3_CHOYP_ANM3.1.1.m.376",4,0.1,0.1,0.1,1.06975,0.1,0.1
"242","3_CHOYP_ANM5.1.1.m.1529",1,12.6251,19.51295,14.2978,16.13625,13.2874,11.6052
