"","Protein","X0","X3","X5","X7","X9","X11","X13","X15"
"189","3_CHOYP_CAN8.1.2|m.21091",0,0,0,0,0.5,0,0,0
"190","3_CHOYP_DEP1A.1.1|m.50111",0,0,0,0,0,0.5,0,0
"191","3_CHOYP_DSPP.5.8|m.37255",0,0,0,0,0,0.5,0,0
"192","3_CHOYP_HES1.2.3|m.27001",0,0,0,0,0,0,0.5,0
"193","3_CHOYP_ISCW_ISCW013556.1.1|m.26406",0,0,0.5,0,0,0,0,0
"194","3_CHOYP_LOC100178916.1.1|m.26391",0,0,0,0,0,0.5,0,0
"195","3_CHOYP_LOC100552730.1.1|m.18699",0,0.5,0,0,0,0,0,0
"196","3_CHOYP_LOC100650613.1.1|m.10270",0,0,0.5,0,0,0,0,0
"197","3_CHOYP_LOC100692894.1.1|m.10137",0,0,0,0,0,0.5,0,0
"198","3_CHOYP_LOC100700188.1.1|m.30931",0,0.5,0,0,0,0,0,0
"199","3_CHOYP_LOC100889837.2.2|m.31074",0,0,0,0,0,0,0,0.5
"200","3_CHOYP_LOC581452.3.4|m.41000",0,0,0.5,0,0,0,0,0
"201","3_CHOYP_LOC581927.9.27|m.31886",0,0.5,0,0,0,0,0,0
"202","3_CHOYP_NEMVEDRAFT_V1G201552.1.6|m.2876",0,0,0,0,0,0,0,0.5
"203","3_CHOYP_Y118.1.1|m.30002",0.5,0,0,0,0,0.5,0,0
"204","3_CHOYP_ZN583.1.2|m.8418",0,0,0,0,0,0,0,0.5
"205","3_CHOYP_AGAP_AGAP006810.1.2|m.12514",0,0,0.5,0,0,0,0,0
"206","3_CHOYP_ALG1.1.1|m.40067",0,0,0,0.5,0,0,0,0
"207","3_CHOYP_ARH.2.2|m.25884",0.5,0,0.5,0,0,0,0,0
"208","3_CHOYP_ASGR2.1.4|m.4187",0,0,0,0,0,0,0,0.5
"209","3_CHOYP_BRAFLDRAFT_118043.1.1|m.26278",0,0,0,0.5,0,0,0,0
"210","3_CHOYP_BRAFLDRAFT_124240.1.1|m.8573",0,0.5,0,0,0,0,0,0
"211","3_CHOYP_CPIPJ_CPIJ004440.1.1|m.62518",0.5,0,0,0,0,0,0.5,0
"212","3_CHOYP_DGRI_GH19122.1.1|m.1378",0,0,0,0,0.5,0,0,0
"213","3_CHOYP_DRPR.2.2|m.62931",0,0,0,0.5,0,0,0,0
"214","3_CHOYP_LOC100706747.1.1|m.14818",0.5,0.5,0,0,0,0,0,0
"215","3_CHOYP_LOC101175542.1.1|m.39653",0,0,0,0,0,0,0.5,0
"216","3_CHOYP_MEG10.79.91|m.59237",0.5,0,0,0,0.5,0,0,0
"217","3_CHOYP_MEG10.9.91|m.20215",0,0,0,0,0,0,0,0.5
"218","3_CHOYP_NT5M.1.1|m.6188",0,0,0,0.5,0,0,0,0
"219","3_CHOYP_OCTC.1.1|m.31819",0,0,0,0.5,0,0,0,0
"220","3_CHOYP_SI_DKEYP-75B4.10.2.2|m.54469",0.5,0,0,0,0.5,0,0,0
"221","3_CHOYP_SPR.2.3|m.21888",0,0,0,0.5,0,0,0,0
"222","3_CHOYP_STX18.2.2|m.51179",0,0,0,0,0,0,0,0.5
"223","3_CHOYP_TRIADDRAFT_21078.2.2|m.64279",0,0,0,0,0.5,0,0,0
"224","3_CHOYP_TVAG_012450.7.8|m.63509",0.5,0,0,0.5,0,0,0,0
"225","3_CHOYP_DPER_GL17448.1.1|m.54836",0,0,0,0,0,0,0.5,0
"226","3_CHOYP_HERC1.2.2|m.51367",0,0,0,0,0.5,0,0,0
"227","3_CHOYP_ISCW_ISCW008316.1.3|m.11997",0,0,0,0,0,0,0,0.5
"228","3_CHOYP_LOC100369488.1.1|m.10559",0.5,0,0,0.5,0,0,0,0
"229","3_CHOYP_LOC100372601.1.1|m.13567",0,0,0,0.5,0,0,0,0
"230","3_CHOYP_LOC100880815.3.7|m.45911",0,0.5,0,0,0,0,0,0
"231","3_CHOYP_LOC100888299.1.3|m.3738",0,0.5,0,0,0,0,0,0
