"Cluster","Silo","ID","D3","D5","D7","D9","D11","D13"
3,"3","CHOYP_BRAFLDRAFT_206907.11.11.m.60959",1.13205,0.1,3.42455,3.4637,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_206907.6.11.m.30690",0.1,0.1,0.1,1.1996,0.1,1.5585
1,"3","CHOYP_BRAFLDRAFT_208090.1.1.m.45354",8.26805,3.8444,4.01645,6.0968,3.60975,3.50825
3,"3","CHOYP_BRAFLDRAFT_208117.3.3.m.56788",0.1,3.321,0.1,3.52745,3.0378,4.14135
3,"3","CHOYP_BRAFLDRAFT_208197.2.21.m.9816",1.14195,1.16145,1.1816,1.2316,0.1,1.54925
3,"3","CHOYP_BRAFLDRAFT_208293.15.20.m.61604",1.8455,0.1,1.9827,0.98935,1.0773,1.28535
3,"3","CHOYP_BRAFLDRAFT_208293.6.20.m.36168",0.9569,0.1,0.1,0.1,1.09305,3.7573
4,"3","CHOYP_BRAFLDRAFT_208436.28.32.m.61328",1.80305,3.65605,0.1,0.1,0.1,1.29095
4,"3","CHOYP_BRAFLDRAFT_208436.4.32.m.22687",0.1,1.8537,0.1,1.04825,1.07735,1.3166
1,"3","CHOYP_BRAFLDRAFT_208819.1.1.m.61942",9.17495,3.69465,7.69545,9.6851,2.15405,7.5847
3,"3","CHOYP_BRAFLDRAFT_209933.1.1.m.29283",2.0742,2.1208,0.1,8.66035,4.58135,2.84325
3,"3","CHOYP_BRAFLDRAFT_212086.4.11.m.42448",3.4011,2.324,1.2524,1.25875,1.294,4.60445
3,"3","CHOYP_BRAFLDRAFT_212086.9.11.m.60590",1.1624,0.1,1.2474,2.36765,0.1,4.5853
5,"3","CHOYP_BRAFLDRAFT_212438.1.1.m.29117",0.1,0.1,0.1,1.85015,1.008,0.1
3,"3","CHOYP_BRAFLDRAFT_215208.1.1.m.40012",0.1,0.1,2.03025,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_215283.1.1.m.1467",0.1,0.1,0.1,1.64945,1.69605,2.07935
4,"3","CHOYP_BRAFLDRAFT_215413.1.1.m.2004",0.1,2.6069,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_215789.1.1.m.60401",0.1,0.1,0.91635,0.9547,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_216893.1.1.m.18940",2.24985,0.1,0.1,4.70595,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_217424.2.2.m.44576",0.1,1.1836,0.1,0.1,0.1,0.8366
4,"3","CHOYP_BRAFLDRAFT_220356.5.6.m.38505",0.1,0.7647,0.1,0.1,0.832,0.1
3,"3","CHOYP_BRAFLDRAFT_221105.2.2.m.18318",0.1,0.1,1.4057,0.1,0.1,1.84615
4,"3","CHOYP_BRAFLDRAFT_221898.1.2.m.28353",2.44285,2.0433,1.28425,1.3093,0.9208,0.1
3,"3","CHOYP_BRAFLDRAFT_223290.2.2.m.30918",0.1,1.1414,1.2042,0.1,0.1,2.9944
4,"3","CHOYP_BRAFLDRAFT_223573.1.1.m.4526",0.1,0.1,0.1,0.1,0.1,0.1
3,"3","CHOYP_BRAFLDRAFT_226416.1.1.m.56984",1.7563,1.7504,0.1,1.90575,1.95985,0.1
3,"3","CHOYP_BRAFLDRAFT_232705.1.2.m.13912",1.6568,1.6855,1.7151,0.1,0.1,0.1
5,"3","CHOYP_BRAFLDRAFT_234513.1.1.m.9581",0.1,0.1,0.1,3.27365,0.1,0.1
4,"3","CHOYP_BRAFLDRAFT_236936.3.6.m.29228",0.1,1.4685,0.1,1.5981,0.1,0.1
